"Gene","x","afr_y","amr_y","asj_y","eas_y","fin_y","nfe_y","sas_y","mutability","rvis_afr","rvis_eas","rvis_asj","rvis_nfe","rvis_sas","rvis_amr","rvis_fin"
"AAR2",298,2,2,5,3,3,4,10,2.03050225e-05,-0.302481852933481,-0.127130565617098,0.223406687957271,0.0966749925143835,0.686681840083557,-0.290610200287452,0.0199212081022053
"AARD",151,13,8,7,4,4,5,6,6.147325e-06,0.874042344801716,0.370342358313279,0.84779106703485,0.543818016824018,0.576056380210228,0.741931439092963,0.511564959528806
"AARS",805,10,12,8,1,5,6,7,5.43964e-05,-0.452993377173694,-1.26996659474358,-0.169908711068747,-0.377165343191967,-0.602525985433401,0.00588379074879743,-0.431028112163159
"AARS2",825,22,16,3,7,5,6,6,5.741915e-05,0.41187654802786,-0.536517866019731,-0.952771273038739,-0.44343497238788,-0.807238135569183,0.386558754839154,-0.500500546739337
"AARSD1",14,0,0,0,0,0,0,0,2.070235e-05,-0.467050682355232,-0.542678975795762,-0.496314403666491,-0.459092216276942,-0.555516253899134,-0.528073949075327,-0.488015086223423
"AASDH",840,19,15,12,12,10,12,11,4.16678e-05,0.535563939390256,0.542258428122659,0.704181590492361,0.72247596069123,0.233479653408361,0.661653135017252,0.692852916987562
"AASDHPPT",233,0,4,2,0,0,0,1,1.24198675e-05,-0.279312190180072,-0.330701825831089,-0.0131684622437002,-0.277521244600964,-0.20891551151646,0.13173539552828,-0.297669754560111
"AASS",657,4,2,4,5,8,6,6,4.058525e-05,-0.606617032039795,-0.375919852951572,-0.406080763501935,-0.0743861004537307,-0.353050467798542,-0.791367808688174,0.385188413524165
"AATF",447,7,5,3,3,2,2,6,2.6562225e-05,-0.0554102736413951,-0.287272899720256,-0.211057209134135,-0.314024411097358,0.0252753896366736,-0.103632111410634,-0.290146808735279
"AATK",1244,40,22,20,23,18,15,26,8.3542575e-05,1.21992829007823,0.957021725402968,0.834032540587693,0.214784258119503,0.951051589183844,0.424518364535649,1.06075381320948
"ABAT",408,3,2,2,3,1,1,3,3.1332275e-05,-0.474656119794985,-0.409355100817307,-0.467744605362854,-0.555361537523308,-0.472856366634922,-0.562889529694298,-0.566041257075777
"ABCA1",1611,22,19,13,19,13,14,16,0.00011014335,-0.783389356990185,-0.264435609135694,-0.799824798749319,-0.505246390231702,-0.998390703422929,-0.573914965908914,-0.382107861322243
"ABCA10",1139,29,25,11,26,12,11,21,5.8123225e-05,0.94041303018906,2.01311734663204,0.166621905396644,0.224965951512189,1.02104924585708,1.39369337822919,0.647227107234929
"ABCA12",1804,25,21,11,13,15,18,29,0.0001134627,-0.62526110678487,-1.16036926803406,-1.1637907802503,-0.0308662474786584,0.513288856754366,-0.428199767529703,-0.125808827116405
"ABCA13",4024,114,80,58,62,62,66,82,0.000196590525,4.41893017166872,3.337216834063,3.51802444529714,4.71802535298983,4.80406531108139,4.24048415070283,5.78814350093578
"ABCA2",1915,13,16,8,18,8,11,19,0.0001844064,-3.16961194069719,-2.30207365851922,-3.29804087325804,-2.5456622848967,-2.63458108124351,-2.75138971197674,-2.92275130994665
"ABCA3",1578,24,12,18,18,12,12,22,0.0001191692,-0.832465613489303,-0.630665992194767,-0.306507529509528,-0.976795217381449,-0.502922911007887,-1.5939165442452,-0.75591873024437
"ABCA4",1982,48,39,27,29,24,30,28,0.000120563825,1.00313335846172,0.820386496107199,0.938595815074363,1.45506475956794,0.198501516501488,1.44583677798633,1.20776776273435
"ABCA5",1097,25,12,13,17,9,10,13,5.8128275e-05,0.629154398648093,0.796632908288776,0.450576536334761,0.0880881341494058,0.0356892848390389,-0.0862628799552755,0.148290172235178
"ABCA6",1202,32,12,10,17,9,12,20,5.9818325e-05,1.1353561131124,0.75337818435597,-0.0161591296571373,0.324573074431756,0.852157866111467,-0.127993665733763,0.109449478922605
"ABCA7",2374,58,37,26,38,24,19,37,0.0001486612,1.14430154297198,1.31780206891111,0.121020882644738,-0.666010422528286,0.548971945779859,0.524219479215353,0.561943527525482
"ABCA8",1268,39,27,14,25,7,17,19,6.770335e-05,1.50117404447556,1.6327280701411,0.362469423554624,0.835575017256939,0.516269832016317,1.38482344580074,-0.404317652938219
"ABCA9",1202,23,21,20,15,13,15,16,6.76152e-05,0.258544716161797,0.283561773225512,1.21687136135863,0.563957997486156,0.149189077298733,0.703960084109311,0.595362139644285
"ABCB1",854,18,12,8,7,8,10,11,5.7472075e-05,0.099546526858382,-0.537872498527741,-0.243837672850418,0.10247374596742,-0.192905777091257,-0.0700600389802049,-0.00290032014178101
"ABCB10",472,7,9,3,5,4,5,7,3.02089e-05,-0.138068922240003,-0.110352661048556,-0.298708149385144,0.0163233276647127,0.050039139882898,0.261627177175949,-0.0414182962997019
"ABCB11",962,15,9,11,8,6,6,12,5.75415e-05,-0.135373701230028,-0.404518868666916,0.180604298926639,-0.446117352018444,-0.0716293016411441,-0.413259022387006,-0.337039107596442
"ABCB4",821,12,9,4,4,5,7,10,5.9829e-05,-0.420575377538416,-1.00360633944398,-0.868656640180208,-0.359499251532461,-0.379646284548268,-0.469744185487155,-0.555887540462484
"ABCB5",1209,51,29,20,28,15,19,19,5.68374e-05,2.68124496146085,2.31638994591798,1.47594104347049,1.34735018138683,0.809425350987101,1.88085286058048,1.17562486173373
"ABCB6",825,18,16,8,10,8,7,12,4.823715e-05,0.308874860102958,0.103872072531981,-0.0218634772124036,-0.105370149606409,0.179394050582046,0.613275132775917,0.209335312715123
"ABCB7",253,7,6,4,3,3,3,3,3.228065e-05,-0.185029099422525,-0.433627498856217,-0.206470504388614,-0.302621548832578,-0.498442878014969,-0.13100191297144,-0.255297934866078
"ABCB8",687,14,10,8,14,8,9,8,4.9239825e-05,-0.0249782017759708,0.618722720260441,-0.0459638283256328,0.146178836572037,-0.340249704466815,-0.0944453861491659,0.186292167524338
"ABCB9",680,3,3,3,6,3,2,6,5.3839075e-05,-0.984854444065832,-0.580015970572088,-0.866709022368452,-0.912029039492651,-0.710641606649797,-1.00482426134597,-0.750768611417365
"ABCC1",1295,18,12,11,9,10,11,12,9.7204675e-05,-0.801190900158672,-1.28472151686565,-0.772850974763772,-0.631884317832285,-1.14188372165301,-1.05127630694969,-0.583567916549819
"ABCC10",1309,22,14,17,14,14,12,18,8.583915e-05,-0.232349103967493,-0.318016975220593,0.352679361429277,-0.245894604726704,-0.09619283679714,-0.542880550766985,0.34281620877081
"ABCC11",1256,33,29,16,14,13,18,25,7.209615e-05,0.934839174335885,0.0337436174360195,0.540968316713661,0.876051844620729,1.13671020057601,1.50405043151975,0.492381245685281
"ABCC12",1187,35,25,19,14,11,15,14,7.1533125e-05,1.10318312568572,0.0481539686257249,0.980644123016345,0.478067257872052,-0.202821990216603,1.06256937778278,0.172765507651636
"ABCC2",1325,27,21,14,17,16,20,19,6.998185e-05,0.516038656137365,0.493255923920656,0.307702734727303,1.19596719142804,0.454797370864981,0.645523616045006,1.03982331946335
"ABCC3",1300,25,21,12,8,10,13,13,8.7124275e-05,-0.0281184418515317,-1.16178224285616,-0.388450624406861,-0.137293973824677,-0.746671516499694,0.222240341492258,-0.351855937253772
"ABCC4",947,18,14,9,10,8,8,12,6.4558825e-05,-0.061092414603032,-0.313866034194247,-0.272144061832376,-0.326425844876466,-0.2609562439982,-0.0173893909074066,-0.165771157130025
"ABCC5",872,3,3,6,2,2,2,4,7.893725e-05,-1.55391973117255,-1.76311591230574,-1.04393550211587,-1.46238886333043,-1.63426257926265,-1.62471389459663,-1.49400287010899
"ABCC6",1446,30,25,24,25,15,13,19,8.5082075e-05,0.407115272496917,1.18791779720354,1.36526724854427,-0.0925193280458033,0.0473919806828342,0.728019163972924,0.526500941998536
"ABCC8",1229,9,8,9,7,7,7,14,9.639005e-05,-1.48290825283539,-1.53419052024205,-1.03738725610474,-1.16118214866476,-0.873552575800053,-1.48657180311084,-1.06373610176714
"ABCC9",767,2,1,3,4,2,1,3,6.94472e-05,-1.41652122048367,-1.24982380625355,-1.24193883621151,-1.39105793751785,-1.501306545587,-1.61800081006989,-1.27582585094472
"ABCD1",401,5,5,2,2,4,3,0,5.1154725e-05,-0.768428208996846,-1.05184461524297,-0.944224891324447,-0.716402286296421,-1.37716561191509,-0.71086955734204,-0.522797483139153
"ABCD2",430,5,3,2,1,2,3,3,3.003375e-05,-0.289659907571119,-0.646376681404073,-0.436533031106463,-0.253364141040165,-0.437823177314227,-0.416999705494455,-0.369928541481014
"ABCD3",342,0,3,1,3,2,2,2,3.26024e-05,-0.736794511493961,-0.441862278852274,-0.640310636512438,-0.446440063566471,-0.630273043997949,-0.480423883536087,-0.428961046254651
"ABCD4",555,16,11,8,5,7,11,11,3.506835e-05,0.451808077075482,-0.234722242326486,0.294659487713264,0.730384692359384,0.411525167096533,0.369292695528655,0.345706684946384
"ABCE1",209,0,0,0,1,0,0,0,2.648295e-05,-0.598080778426198,-0.555497694438065,-0.635258048798045,-0.585817704750164,-0.711473475243557,-0.670806912515509,-0.620864722702435
"ABCF1",535,10,5,2,8,2,2,6,4.5806925e-05,-0.258288629349723,-0.104182584514087,-0.815671847476188,-0.735926625811515,-0.493929350504252,-0.578816268288192,-0.732435967911107
"ABCF2",388,3,3,1,0,1,1,1,3.3242925e-05,-0.517965575734891,-0.86364503274686,-0.655706744447968,-0.597248551348992,-0.770705560801982,-0.49623957908039,-0.609952431198351
"ABCF3",565,10,6,5,7,3,4,4,4.2283725e-05,-0.178427274530482,-0.149137417936505,-0.304870534313755,-0.385150412302012,-0.645173786357955,-0.377992888752246,-0.485189301796204
"ABCG1",507,2,0,3,2,1,1,3,4.5459525e-05,-0.872678183582355,-0.906067016827853,-0.665280547090868,-0.865081537193848,-0.854011983027961,-1.13940093692185,-0.890728514843709
"ABCG2",603,5,9,7,12,5,7,13,3.0423075e-05,-0.298484745460711,0.830055321928436,0.264278258332729,0.285155474283718,0.783151724499165,0.256338924498892,0.119926752845622
"ABCG4",464,6,3,3,2,1,3,2,3.8055125e-05,-0.393700824570924,-0.716549052461907,-0.487301473748527,-0.429213122829722,-0.777388062397794,-0.615062611133297,-0.720549648305276
"ABCG5",645,13,11,7,9,6,9,13,3.6400375e-05,0.188272060818551,0.271688213744057,0.120609266421387,0.427648782548192,0.621886632192666,0.336403271321096,0.148826455627589
"ABCG8",776,15,15,9,12,8,12,16,4.06987e-05,0.246404089916932,0.567061140588819,0.301364173927522,0.74372124006709,0.875376319038427,0.68558182769471,0.382581145257558
"ABHD1",416,5,6,5,5,4,6,3,2.139315e-05,-0.0938043588787517,0.115271045132769,0.197252519444299,0.34634890840821,-0.204709178646106,0.137823531638049,0.16118170376358
"ABHD10",247,6,5,2,1,4,3,5,1.40472e-05,0.150486460575648,-0.237223985325962,-0.0522827979811169,0.0970972908853936,0.239770113841733,0.205379929403836,0.330005631292845
"ABHD11",283,1,1,2,1,0,0,1,1.82680575e-05,-0.334091227126802,-0.345249673671413,-0.153734409146725,-0.405726795757326,-0.366692761427017,-0.354141032462815,-0.432070770622813
"ABHD12",318,7,4,3,5,1,2,4,2.19152e-05,0.0499231441962506,0.101910050948211,-0.0993624683828331,-0.212151054686299,-0.0956466906159371,-0.102716614643255,-0.349618875475008
"ABHD12B",292,9,9,5,7,5,8,7,1.3964545e-05,0.385703581485028,0.575651039704593,0.375807601865452,0.782742658104472,0.488296935765625,0.662730340152421,0.498175558181779
"ABHD13",193,3,0,2,1,0,1,2,1.36346575e-05,-0.0735047209592653,-0.226665664235022,-0.0423669934154446,-0.167387341148613,-0.118541645857897,-0.353563007597106,-0.32558758744534
"ABHD14A",122,4,4,2,2,3,3,4,1.4195005e-05,-0.00842534849682439,-0.105880778711549,-0.0558354136196909,0.093857046752337,0.112635081907033,0.087904680939475,0.160339923376451
"ABHD14A-ACY1",86,3,2,2,1,1,2,2,2.7106825e-05,-0.378877073120211,-0.571465032964998,-0.366181356264832,-0.325963323596838,-0.482005576589446,-0.458555984779834,-0.468931676091474
"ABHD14B",157,3,3,3,2,3,2,3,1.074488e-05,-0.00800221352966736,-0.017580470461615,0.169126077701695,0.0327277647955476,0.0825687342934072,0.059267444245208,0.239630638797895
"ABHD15",468,9,7,8,7,6,6,9,2.283222e-05,0.184697975741676,0.34869162618182,0.588768577565734,0.314800844678065,0.495348803187945,0.216116262861765,0.460646384700616
"ABHD16A",325,2,3,3,3,2,2,3,3.225255e-05,-0.573298351670695,-0.432908315674549,-0.347829285048182,-0.438770423667748,-0.49768475792849,-0.471785482979162,-0.420920796602987
"ABHD16B",386,10,7,3,4,2,2,7,3.98570475e-05,-0.123421555362545,-0.492409692387665,-0.530613567914227,-0.60548345469108,-0.210256527049205,-0.204248024050645,-0.595689634391202
"ABHD17A",320,8,9,3,3,4,3,3,2.78164925e-05,-0.0060602843377196,-0.319373854777336,-0.241204542196132,-0.204756755006172,-0.37800360715593,0.320698879955217,0.013562957658595
"ABHD17B",152,0,0,0,2,0,0,0,1.30857625e-05,-0.294405953358967,-0.0774915768919361,-0.313243068163449,-0.292119154595071,-0.350028565822088,-0.340010098971103,-0.312973094747879
"ABHD17C",126,3,0,0,0,0,0,0,1.40816525e-05,-0.0836367196854256,-0.373232445612332,-0.337180081302175,-0.313951294794655,-0.376896538010284,-0.36459987958472,-0.335860255164416
"ABHD2",289,4,1,1,2,1,1,0,2.45677475e-05,-0.243543012652253,-0.371353542385826,-0.447187266720338,-0.407065515931789,-0.659802070315832,-0.509689190367952,-0.410578987967561
"ABHD3",288,5,1,1,0,2,1,1,1.638375e-05,0.0197431161578079,-0.432150884800492,-0.250477869166493,-0.227653585273198,-0.315856330490906,-0.307615115974409,-0.0562291824395078
"ABHD4",303,1,2,3,2,3,2,2,2.1930825e-05,-0.417115007145813,-0.303865800246484,-0.0997380267702406,-0.212493589487228,-0.342362258690774,-0.330753313525041,-0.0174423229435501
"ABHD5",278,5,5,3,3,1,2,4,1.6131575e-05,0.0254591535476596,-0.0203183865527812,0.0396514786019922,-0.0853611358127491,0.0603884868595417,0.153913597866709,-0.216701835798074
"ABHD6",259,1,1,1,1,0,1,1,1.73518175e-05,-0.313322910166523,-0.321800044706755,-0.273746120735019,-0.248875779815161,-0.341973658120522,-0.331517908685215,-0.411014023290291
"ABHD8",372,5,3,2,2,2,3,1,3.4626275e-05,-0.393759287143516,-0.62878938768499,-0.546920383960552,-0.354043514685996,-0.808028772540894,-0.530397066238058,-0.475473903237152
"ABI1",288,2,2,1,2,2,3,3,2.168975e-05,-0.333869352734931,-0.297695889995303,-0.378011882189859,-0.0704449394299597,-0.212711079245029,-0.32480086317355,-0.178169461704097
"ABI2",251,0,3,1,0,1,2,0,2.1346975e-05,-0.481662441096631,-0.559177275106836,-0.369772985375313,-0.199694298896744,-0.57290771511938,-0.202511685266744,-0.336560118750706
"ABI3",317,6,3,4,4,4,4,8,2.11593975e-05,-0.010725538828039,-0.0138716010106175,0.0608372929994237,0.0779451346266496,0.41733196412024,-0.197880172239045,0.166553734973981
"ABI3BP",689,15,12,9,7,3,10,13,4.4077375e-05,0.169820090383397,-0.195043362592596,0.220155075762522,0.39611697766718,0.414768402798829,0.260674739029338,-0.526412031167614
"ABL1",873,10,10,8,6,7,6,9,7.2594125e-05,-0.8655325972918,-1.06009304025728,-0.607340842073843,-0.776146709285222,-0.847230646111133,-0.67113473884487,-0.516728236544175
"ABL2",836,6,4,5,4,6,5,9,5.37938e-05,-0.75046909770717,-0.849122908794565,-0.581537056544404,-0.500722210484046,-0.339965803265204,-0.889871209539779,-0.250906956097751
"ABLIM1",559,9,8,5,5,5,4,7,4.44686e-05,-0.305733607607439,-0.475310642154697,-0.357387009387166,-0.433049396267181,-0.334672718491618,-0.204288524410319,-0.202863058440238
"ABLIM2",584,2,5,4,4,2,3,4,4.34785e-05,-0.827770176812327,-0.585098420194749,-0.475624568793925,-0.54811012292245,-0.6774092408884,-0.521321737388709,-0.678921099239499
"ABLIM3",528,10,7,4,3,8,9,7,4.155055e-05,-0.161808296187035,-0.670883035685378,-0.429283169217712,0.314745152650354,-0.255945723533156,-0.246063194801366,0.363004234269982
"ABR",527,4,4,2,2,4,2,3,5.2398275e-05,-0.874404466038746,-1.08367620523362,-0.974118753959372,-0.880439143615268,-1.04123388960516,-0.855409672795989,-0.551378194383067
"ABRA",364,3,6,4,4,2,4,3,2.06002625e-05,-0.231393190732021,0.00043848766815112,0.0742765519470138,0.0902026525623883,-0.183318061274298,0.157400962764954,-0.153131326471606
"ABRACL",59,0,0,1,1,0,0,0,3.96063e-06,-0.0875669568320143,0.0209259711707609,0.048123127601478,-0.092075130218528,-0.103842545089884,-0.114698628100245,-0.103262235263804
"ABT1",292,5,1,2,2,1,1,1,1.8212405e-05,-0.0217068508132848,-0.20869920898533,-0.152396759443062,-0.267741777425621,-0.365191320175117,-0.352766901332298,-0.26452261711858
"ABTB1",480,4,6,1,4,6,6,9,3.5470075e-05,-0.490667573716875,-0.3801299261884,-0.709240447197535,0.0377501860363192,0.154392410630301,-0.209752961224644,0.170206211013135
"ABTB2",800,12,9,5,9,6,4,6,5.795165e-05,-0.378018806313387,-0.279887015441497,-0.681483476109375,-0.728650651673045,-0.821606135805822,-0.42338678437917,-0.346465550224334
"AC002365.1",106,3,4,1,3,1,2,3,1.2134145e-05,-0.0394926836285843,0.0819894600779279,-0.148335289834452,0.00227173836678688,0.0450877393148442,0.138790316042262,-0.124834468905524
"AC002472.13",305,19,12,11,9,7,9,9,1.8665505e-05,1.05698018484787,0.725591650820134,1.11505180811311,0.816449828256407,0.607765330701506,0.888141873230325,0.722679918736173
"AC002553.1",8,1,0,0,0,0,0,0,8.1308175e-07,0.0615611318008245,-0.0336441253212298,-0.0182577520713763,-0.0230728406170865,-0.0189243357600627,-0.0369807910753399,-0.0309255496741927
"AC003043.1",3,0,0,0,0,0,0,0,2.396785e-07,-0.00322331512840481,-0.0189685826288619,-0.00447529011997894,-0.0105023120286418,-0.00345431647813602,-0.022822505844797,-0.0177475770935393
"AC003101.1",97,2,1,1,0,0,0,1,6.53476e-06,0.00964782977583714,-0.180082209815775,-0.0137489775070503,-0.148506256158639,-0.0501417909705507,-0.0644309254743084,-0.162420293189101
"AC004076.7",2,0,0,0,0,0,2,0,6.56767e-07,-0.0126775985876107,-0.0296434463327181,-0.0145005346383368,0.253887187658147,-0.014707075711255,-0.0331211208972639,-0.0273331211737085
"AC004076.9",1,1,0,1,0,1,1,0,4.9953825e-06,-0.0332402676735526,-0.140684237459771,0.0232516357553337,0.0220061179210444,-0.13175916114572,-0.140248145962775,0.0392270291045637
"AC004381.6",493,2,3,5,5,3,7,4,3.1615775e-05,-0.558864237029571,-0.146359206860962,-0.0484561936589897,0.25900875481549,-0.357356899362684,-0.456062434722642,-0.240017959780812
"AC004466.1",80,6,6,2,2,2,5,3,5.04226e-06,0.354605701649912,0.128370188818269,0.164160486709986,0.56804523435123,0.236421401806019,0.541558473865375,0.204419588332086
"AC005003.1",114,3,3,2,3,1,2,4,5.1947065e-06,0.117804591435441,0.259595906484625,0.160496226319169,0.154401990635518,0.355457570691922,0.196310404841998,0.034646171225022
"AC005008.2",77,4,2,2,1,1,2,1,4.54015e-06,0.210423393423999,0.0060939258958522,0.176229402919514,0.168751712842479,0.00367097851425737,0.0986457130301158,0.0496891781935682
"AC005082.1",10,2,0,0,0,0,0,0,1.00232775e-06,0.135053407139115,-0.0384876356602123,-0.0228065102260916,-0.027221612822459,-0.0240300546614845,-0.0416535860000216,-0.0352748025304985
"AC005358.1",4,0,0,0,0,0,0,0,3.3684975e-05,-0.761334377207969,-0.874959308280386,-0.808371641913218,-0.74370799022165,-0.90578552369598,-0.848642004675982,-0.786385491539165
"AC005481.5",121,6,6,3,0,2,3,4,7.87588925e-06,0.290373720813458,-0.214406256890914,0.238085951929015,0.232388564946885,0.283120044320908,0.471588662701056,0.139296701280569
"AC005493.1",16,1,1,1,0,0,0,0,6.5707225e-07,0.0650974681355473,-0.029651258823522,0.127528589600103,-0.0196526984909043,-0.0147153111397107,0.080698735706397,-0.0273401364365544
"AC005544.1",135,5,4,4,5,1,3,5,9.5023805e-06,0.175723845185703,0.419600212781589,0.341026613182602,0.196731368559744,0.362386695317353,0.203772839962111,-0.0643520907153097
"AC005549.3",14,0,0,0,0,1,0,0,3.52928e-07,-0.00579038037295286,-0.0218670647077235,-0.00719738501423496,-0.012985044907019,-0.00650971112765168,-0.0256188273620614,0.145920628797925
"AC005609.1",228,10,9,9,3,8,7,11,1.65976575e-05,0.403799036047525,-0.0322469820179324,0.88066960821175,0.588246124477401,0.909861723807309,0.597712113958467,0.936482728305902
"AC005841.1",257,15,4,0,2,1,3,6,1.40635425e-05,0.850158430047229,-0.102516218249614,-0.336744792886774,0.0967390235905816,0.362477174225387,0.0911506740899436,-0.169175152614124
"AC006435.1",166,5,3,2,4,2,4,5,8.46439e-06,0.199252342313306,0.311038931969921,0.0819053619648706,0.356252794775135,0.390391398650472,0.115576227172116,0.125771768802216
"AC006486.1",136,7,5,2,7,4,2,3,5.6098755e-06,0.419521377360871,0.789490205442961,0.150517081180378,0.145300334409062,0.221107394246612,0.41371390667959,0.523917187335525
"AC006538.4",26,0,1,2,0,0,0,1,7.6924815e-06,-0.172156951697336,-0.209712233545975,0.10045905894121,-0.173886215996737,-0.0813759551136157,-0.0930166947034111,-0.18902669801367
"AC006547.14",241,4,4,6,6,2,3,4,1.69373725e-05,-0.0705863649966699,0.364436098682788,0.446387160829461,0.0337378720964917,0.0386489858145535,0.020191978261074,-0.0689523202597113
"AC006946.15",43,1,0,0,0,0,0,2,3.72396e-06,-0.00442069662170296,-0.10814407452438,-0.0882239907407045,-0.086886739054766,0.148839725630042,-0.108854900047204,-0.0978231250903797
"AC007204.1",47,1,1,1,0,1,1,0,1.98176575e-06,0.0350701155968846,-0.0635550621463048,0.0956876835781739,0.0880726767966166,-0.0504545315166531,0.0479896732249138,0.108486227817135
"AC007401.2",64,1,1,1,3,1,1,2,3.1369175e-06,0.00888593939821305,0.312263413913705,0.0679220821065174,0.0627485772576809,0.164677825704918,0.0194670199525615,0.0819383484507944
"AC007557.1",51,1,0,0,1,0,0,0,2.950013e-06,0.013122554251503,0.0467914334806481,-0.0696213546915631,-0.0699198882950639,-0.0765770212860142,-0.0897449965402789,-0.0800363845716565
"AC007952.5",94,5,4,3,7,4,3,5,7.31741175e-06,0.225251403324375,0.745784562776386,0.251509758857793,0.244631989031205,0.421336724183113,0.257723696196571,0.484672928750896
"AC007956.1",118,8,5,2,2,4,3,5,4.35587e-06,0.525730314455283,0.145937560464847,0.180658836285899,0.309557924586649,0.501239607440741,0.444678428410501,0.552738208402802
"AC008060.7",97,7,5,3,3,0,2,2,4.50368e-06,0.444596731860789,0.277282136714966,0.319142309903889,0.169551238998413,0.127803341495795,0.441028620138501,-0.115742508606251
"AC008271.1",70,2,3,1,1,2,1,1,4.8472e-06,0.0479001080970261,-0.00176460154083776,0.0268133715593129,0.0252546612087943,-0.00461296996710988,0.204891001665237,0.208902511379562
"AC008372.1",2,0,0,0,0,0,0,0,4.07657e-08,0.0012855117834417,-0.0138776509405123,0.000305832887005935,-0.00614160761590941,0.00191221857520212,-0.0179110103155502,-0.0131761510182772
"AC008394.1",61,6,6,3,5,2,4,6,3.10952225e-06,0.398417004194931,0.583223751406484,0.352653449582169,0.473649538529539,0.658018756613449,0.589283567450991,0.248838462799725
"AC008686.1",44,11,11,8,7,8,9,8,1.846115e-06,0.815977506378254,0.885828462507008,1.093235383409,1.18521907387797,0.938417666850325,1.18965483198538,1.27555110047562
"AC009041.2",4,1,1,1,0,0,1,1,2.197735e-07,0.0750099229492816,-0.0184591384568211,0.138039727713844,0.126700591638989,0.120231922668584,0.0914964619415281,-0.0172901193013978
"AC009065.1",80,1,1,1,1,1,0,2,1.01634925e-05,-0.15038596422771,-0.137827024102279,-0.100969003963056,-0.228056429395104,-0.0248935248100144,-0.154029238126939,-0.0795455798358514
