Gene,Diverse_LOF,Nfe_43k_LOF,Nfe_440k_LOF,All_LOF,afr_LOF,asj_LOF,eas_LOF,sas_LOF,nfe_20k_LOF,possible_lof,mu_mis,mu_syn,mu_lof,total_var,LOF_FDR_Diverse43k,LOF_FDR_NFE43k,LOF_FDR_NFE440k,LOF_FDR_FullDataset,LOF_FDR_AFR,LOF_FDR_ASJ,LOF_FDR_EAS,LOF_FDR_SAS,LOF_FDR_NFE20k
AADACL3,16,9,27,37,3,1,2,8,6,54,1.09E-05,4.68E-06,1.70E-07,448,1.487634698,0.836794517,2.510383552,3.440155238,0.278931506,0.092977169,0.185954337,0.743817349,0.557863012
AADACL4,12,10,26,34,4,0,2,2,4,73,1.40E-05,5.65E-06,3.68E-07,458,0.648474681,0.540395567,1.405028475,1.837344929,0.216158227,0,0.108079113,0.108079113,0.216158227
AADAT,7,5,32,35,2,0,0,2,4,298,1.06E-05,3.82E-06,9.84E-07,339,0.155072189,0.110765849,0.708901436,0.775360946,0.04430634,0,0,0.04430634,0.08861268
AAED1,19,13,39,47,7,0,3,4,8,125,4.22E-06,1.52E-06,3.66E-07,299,0.507177071,0.34701589,1.041047671,1.254595911,0.18685471,0,0.08008059,0.10677412,0.21354824
AAGAB,15,10,47,49,4,1,1,3,10,223,7.73E-06,3.01E-06,1.02E-06,375,0.226995627,0.151330418,0.711252964,0.741519048,0.060532167,0.015133042,0.015133042,0.045399125,0.151330418
AAK1,10,16,71,74,1,0,1,5,7,544,2.58E-05,1.03E-05,2.24E-06,1262,0.064740416,0.103584666,0.459656957,0.479079082,0.006474042,0,0.006474042,0.032370208,0.045318292
AAMDC,6,4,11,14,3,0,1,4,1,73,3.14E-06,9.71E-07,3.79E-07,122,0.286250118,0.190833412,0.524791882,0.667916941,0.143125059,0,0.047708353,0.190833412,0.047708353
AAMP,10,7,30,34,2,0,1,2,5,248,1.40E-05,6.12E-06,1.04E-06,412,0.233344051,0.163340836,0.700032154,0.793369775,0.04666881,0,0.023334405,0.04666881,0.116672026
AANAT,12,5,19,29,5,1,0,6,1,99,1.05E-05,4.35E-06,3.65E-07,338,0.678539264,0.282724693,1.074353835,1.639803221,0.282724693,0.056544939,0,0.339269632,0.056544939
AAR2,13,7,21,30,8,2,0,3,3,135,1.35E-05,5.52E-06,5.70E-07,439,0.469161303,0.252625317,0.757875951,1.08267993,0.288714648,0.072178662,0,0.108267993,0.108267993
AARD,6,4,12,16,4,2,0,2,2,46,3.80E-06,1.92E-06,1.92E-07,218,0.392262056,0.261508037,0.784524111,1.046032149,0.261508037,0.130754019,0,0.130754019,0.130754019
AARS,15,17,74,78,2,0,2,4,9,541,3.33E-05,1.36E-05,3.35E-06,1054,0.102570728,0.116246825,0.506015593,0.533367787,0.013676097,0,0.013676097,0.027352194,0.061542437
AARS2,35,30,99,111,11,1,2,10,16,547,3.63E-05,1.34E-05,3.45E-06,1040,0.24898053,0.213411883,0.704259213,0.789623967,0.078251024,0.007113729,0.014227459,0.071137294,0.113819671
AARSD1,8,2,8,11,3,0,0,4,2,253,1.36E-05,4.85E-06,1.02E-06,32,2.250304354,0.562576089,2.250304354,3.094168487,0.843864133,0,0,1.125152177,0.562576089
AASDH,46,28,124,142,15,2,5,13,23,645,2.63E-05,1.03E-05,2.27E-06,1047,0.358618747,0.218289672,0.966711406,1.107040481,0.116940896,0.015592119,0.038980299,0.101348776,0.179309374
AASDHPPT,9,4,25,29,2,0,3,0,5,175,8.32E-06,2.69E-06,6.26E-07,281,0.282587579,0.125594479,0.784965497,0.910559976,0.06279724,0,0.09419586,0,0.156993099
AASS,32,21,68,86,8,0,3,9,12,635,2.67E-05,9.60E-06,1.92E-06,892,0.33776968,0.221661353,0.71776057,0.907756015,0.08444242,0,0.031665908,0.094997723,0.12666363
AATF,25,17,59,68,6,2,1,6,14,336,1.62E-05,6.67E-06,1.64E-06,574,0.3140377,0.213545636,0.741128971,0.854182543,0.075369048,0.025123016,0.012561508,0.075369048,0.175861112
AATK,27,22,127,137,9,0,2,11,8,521,5.01E-05,2.87E-05,2.11E-06,2059,0.230896824,0.188138153,1.086070245,1.171587587,0.076965608,0,0.017103468,0.094069076,0.068413874
ABAT,13,11,49,56,3,0,0,7,3,317,1.96E-05,8.63E-06,1.40E-06,671,0.192722859,0.163073189,0.726416931,0.830190778,0.044474506,0,0,0.103773847,0.044474506
ABCA1,32,31,141,153,3,1,1,11,17,1357,6.84E-05,2.75E-05,6.32E-06,2192,0.113136259,0.109600751,0.498506643,0.54093274,0.010606524,0.003535508,0.003535508,0.038890589,0.060103638
ABCA10,91,42,142,187,40,8,18,38,35,1081,3.69E-05,1.30E-05,3.66E-06,1465,0.438407527,0.202341935,0.684108448,0.900903379,0.192706605,0.038541321,0.086717972,0.183071275,0.16861828
ABCA11P,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCA12,36,25,154,169,9,1,1,14,15,1605,6.94E-05,2.77E-05,7.25E-06,2399,0.104388526,0.072492032,0.446550918,0.490046138,0.026097132,0.002899681,0.002899681,0.040595538,0.043495219
ABCA13,176,110,408,485,48,5,20,48,78,2687,0.00012398,5.08E-05,9.69E-06,5074,0.312865339,0.195540837,0.725278741,0.862157328,0.085326911,0.00888822,0.035552879,0.085326911,0.13865623
ABCA2,56,50,174,183,17,6,5,19,33,1254,0.00011275,5.93E-05,5.49E-06,2980,0.280314111,0.250280456,0.870975988,0.91602647,0.085095355,0.030033655,0.025028046,0.095106573,0.165185101
ABCA3,16,15,111,117,3,2,1,3,7,812,7.32E-05,3.80E-05,3.56E-06,2094,0.113575488,0.10647702,0.787929948,0.830520756,0.021295404,0.014196936,0.007098468,0.021295404,0.049689276
ABCA4,58,45,163,184,9,3,7,13,31,1336,7.46E-05,3.19E-05,6.24E-06,2414,0.206395747,0.160134631,0.58004322,0.654772715,0.032026926,0.010675642,0.024909832,0.046261116,0.110314968
ABCA5,65,48,169,197,21,1,8,18,31,1162,3.69E-05,1.21E-05,4.06E-06,1536,0.269152136,0.1987585,0.699795553,0.815738012,0.086956844,0.004140802,0.033126417,0.074534438,0.128364865
ABCA6,79,49,161,194,26,4,8,16,37,1116,3.77E-05,1.41E-05,3.57E-06,1586,0.370766651,0.229969189,0.755613049,0.910490257,0.122024467,0.018772995,0.03754599,0.07509198,0.173650204
ABCA7,136,64,228,303,50,4,14,42,45,1043,9.34E-05,4.38E-05,5.13E-06,3067,0.570980538,0.268696724,0.957232079,1.272111053,0.209919316,0.016793545,0.058777408,0.176332225,0.188927384
ABCA8,80,72,219,256,24,7,8,25,31,1065,4.15E-05,1.74E-05,3.93E-06,1648,0.371433136,0.334289822,1.01679821,1.188586035,0.111429941,0.032500399,0.037143314,0.116072855,0.14393034
ABCA9,60,50,159,182,18,4,5,18,28,1086,4.10E-05,1.63E-05,4.57E-06,1528,0.258142488,0.21511874,0.684077594,0.783032214,0.077442746,0.017209499,0.021511874,0.077442746,0.120466495
ABCA9-AS1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCB1,8,17,56,60,2,0,1,2,3,772,3.67E-05,1.25E-05,3.65E-06,1097,0.050968985,0.108309093,0.356782895,0.382267388,0.012742246,0,0.006371123,0.012742246,0.019113369
ABCB10,21,19,74,80,3,0,3,5,12,332,1.98E-05,7.47E-06,1.32E-06,828,0.258831713,0.234181074,0.912073655,0.986025573,0.036975959,0,0.036975959,0.061626598,0.147903836
ABCB11,25,19,84,95,5,1,4,5,10,779,3.70E-05,1.29E-05,3.40E-06,1277,0.147341266,0.111979362,0.495066654,0.559896812,0.029468253,0.005893651,0.023574603,0.029468253,0.058936506
ABCB4,25,13,80,91,8,1,4,9,7,785,3.65E-05,1.50E-05,3.70E-06,1073,0.167624521,0.087164751,0.536398467,0.610153257,0.053639847,0.006704981,0.026819923,0.060344828,0.046934866
ABCB5,71,37,122,159,30,4,7,25,27,797,3.50E-05,1.31E-05,3.91E-06,1550,0.295908303,0.154205735,0.508462154,0.66266789,0.125031677,0.01667089,0.029174058,0.104193064,0.11252851
ABCB6,51,27,105,121,15,0,2,14,29,455,2.99E-05,1.25E-05,2.64E-06,1035,0.400546505,0.212054032,0.824654569,0.950316218,0.117807796,0,0.015707706,0.109953943,0.227761738
ABCB7,2,2,5,6,2,1,0,1,1,461,1.99E-05,7.62E-06,2.10E-06,356,0.038465627,0.038465627,0.096164066,0.11539688,0.038465627,0.019232813,0,0.019232813,0.019232813
ABCB8,33,22,82,94,7,1,7,7,13,335,3.14E-05,1.36E-05,1.88E-06,1036,0.37045698,0.24697132,0.920529466,1.055241095,0.078581784,0.011225969,0.078581784,0.078581784,0.145937598
ABCB9,16,12,56,67,5,0,0,7,5,314,3.40E-05,1.70E-05,1.27E-06,914,0.330685451,0.248014088,1.157399079,1.384745326,0.103339203,0,0,0.144674885,0.103339203
ABCC1,18,9,95,98,5,0,1,0,12,854,5.94E-05,2.90E-05,3.92E-06,1817,0.109169899,0.05458495,0.576174468,0.594369452,0.030324972,0,0.006064994,0,0.072779933
ABCC10,36,37,125,141,14,0,4,9,11,658,5.41E-05,2.31E-05,3.82E-06,1636,0.219684589,0.225786939,0.762793713,0.860431308,0.085432896,0,0.024409399,0.054921147,0.067125847
ABCC11,54,32,116,140,24,3,8,12,21,788,4.47E-05,1.96E-05,3.45E-06,1454,0.344997025,0.204442681,0.74110472,0.894436731,0.153332011,0.019166501,0.05111067,0.076666006,0.13416551
ABCC12,69,40,124,157,21,4,16,26,29,794,4.38E-05,1.96E-05,3.60E-06,1454,0.419497425,0.243186913,0.753879431,0.954508634,0.127673129,0.024318691,0.097274765,0.158071494,0.176310512
ABCC2,59,33,130,165,18,0,12,21,13,883,4.33E-05,1.70E-05,4.30E-06,1546,0.275876336,0.154303714,0.607863114,0.771518568,0.084165662,0,0.056110441,0.098193272,0.060786311
ABCC3,64,42,139,169,19,2,6,19,27,799,5.52E-05,2.39E-05,3.58E-06,1771,0.3906651,0.256373972,0.848475763,1.031600029,0.115978701,0.012208284,0.036624853,0.115978701,0.164811839
ABCC4,24,25,95,105,6,3,0,4,13,913,3.97E-05,1.69E-05,3.55E-06,1283,0.151034764,0.15732788,0.597845942,0.660777094,0.037758691,0.018879346,0,0.025172461,0.081810497
ABCC5,10,15,87,89,2,1,1,3,6,821,4.82E-05,2.10E-05,4.31E-06,1364,0.059690966,0.08953645,0.519311407,0.531249601,0.011938193,0.005969097,0.005969097,0.01790729,0.03581458
ABCC6,41,30,107,125,10,1,6,17,20,781,5.31E-05,2.39E-05,3.61E-06,1473,0.291504497,0.213295973,0.760755638,0.888733222,0.071098658,0.007109866,0.042659195,0.120867718,0.142197316
ABCC8,45,37,148,168,15,2,2,16,18,892,5.93E-05,2.68E-05,4.56E-06,1697,0.249244219,0.204934136,0.819736544,0.930511753,0.083081406,0.011077521,0.011077521,0.088620167,0.099697688
ABCC9,18,26,107,113,6,2,1,8,10,1009,4.39E-05,1.60E-05,4.26E-06,1117,0.116888444,0.168838863,0.694836861,0.733799675,0.038962815,0.012987605,0.006493802,0.051950419,0.064938024
ABCD1,2,4,9,10,0,0,1,0,1,331,3.28E-05,1.53E-05,1.34E-06,631,0.05385367,0.107707339,0.242341513,0.269268348,0,0,0.026926835,0,0.026926835
ABCD2,5,7,32,35,2,0,0,1,2,410,2.00E-05,6.86E-06,1.42E-06,615,0.076651388,0.107311943,0.490568884,0.536559716,0.030660555,0,0,0.015330278,0.030660555
ABCD3,5,6,44,45,0,1,1,1,3,541,1.95E-05,6.11E-06,3.12E-06,540,0.043040631,0.051648757,0.378757553,0.38736568,0,0.008608126,0.008608126,0.008608126,0.025824379
ABCD4,26,28,85,95,6,1,4,6,15,408,2.11E-05,9.42E-06,2.03E-06,764,0.261209172,0.281302185,0.853953061,0.954418127,0.06027904,0.010046507,0.040186026,0.06027904,0.150697599
ABCE1,1,5,28,28,0,0,0,0,1,449,1.61E-05,5.43E-06,2.21E-06,366,0.014568731,0.072843654,0.407924463,0.407924463,0,0,0,0,0.014568731
ABCF1,18,14,87,94,6,2,1,6,9,642,2.87E-05,9.97E-06,3.16E-06,725,0.159787476,0.124279148,0.772306136,0.83444571,0.053262492,0.017754164,0.008877082,0.053262492,0.079893738
ABCF2,0,3,32,32,0,0,0,0,0,408,2.08E-05,7.39E-06,2.25E-06,532,0,0.037007774,0.394749589,0.394749589,0,0,0,0,0
ABCF3,12,13,54,59,0,1,0,5,6,472,2.73E-05,1.01E-05,2.14E-06,752,0.1399956,0.1516619,0.629980199,0.688311699,0,0.0116663,0,0.0583315,0.0699978
ABCG1,18,16,57,63,8,0,2,4,8,369,2.78E-05,1.44E-05,1.43E-06,998,0.255382304,0.227006493,0.80871063,0.893838065,0.113503246,0,0.028375812,0.056751623,0.113503246
ABCG2,39,29,74,91,14,1,5,14,17,430,1.81E-05,7.35E-06,2.22E-06,677,0.351263399,0.261195861,0.666499783,0.819614598,0.126094554,0.009006754,0.045033769,0.126094554,0.153114815
ABCG4,7,8,35,39,5,0,1,1,1,337,2.41E-05,1.09E-05,1.38E-06,584,0.147278588,0.168318386,0.73639294,0.820552133,0.105198991,0,0.021039798,0.021039798,0.021039798
ABCG5,26,16,61,71,3,0,6,8,13,333,2.23E-05,1.02E-05,1.76E-06,818,0.291917907,0.179641789,0.68488432,0.797160438,0.033682835,0,0.067365671,0.089820894,0.145958953
ABCG8,28,19,76,90,7,0,2,12,11,338,2.49E-05,1.22E-05,1.59E-06,973,0.328366729,0.22282028,0.891281121,1.055464485,0.082091682,0,0.023454766,0.140728598,0.129001215
ABHD1,23,18,63,71,4,0,2,12,10,200,1.35E-05,5.48E-06,1.05E-06,503,0.412566418,0.322878067,1.130073233,1.273574596,0.071750681,0,0.035875341,0.215252044,0.179376704
ABHD10,16,7,20,28,3,0,1,6,7,159,8.31E-06,3.31E-06,1.08E-06,329,0.28123441,0.123040054,0.351543012,0.492160217,0.052731452,0,0.017577151,0.105462904,0.123040054
ABHD11,11,7,30,36,0,0,0,7,4,118,1.20E-05,4.80E-06,6.34E-07,406,0.346709236,0.22063315,0.945570645,1.134684774,0,0,0,0.22063315,0.126076086
ABHD12,24,17,63,74,7,2,2,9,10,269,1.30E-05,5.56E-06,1.48E-06,642,0.245294713,0.173750422,0.643898623,0.756325366,0.071544291,0.020441226,0.020441226,0.091985518,0.102206131
ABHD12B,22,16,44,55,5,1,3,8,9,268,8.88E-06,3.28E-06,8.00E-07,419,0.407335335,0.29624388,0.81467067,1.018338338,0.092576213,0.018515243,0.055545728,0.14812194,0.166637183
ABHD13,1,1,12,12,0,0,0,0,1,152,9.31E-06,2.85E-06,6.54E-07,282,0.03283393,0.03283393,0.394007155,0.394007155,0,0,0,0,0.03283393
ABHD14A,13,7,31,39,8,0,0,5,2,112,8.90E-06,3.88E-06,6.32E-07,379,0.342524231,0.184436125,0.816788552,1.027572694,0.210784142,0,0,0.131740089,0.052696036
ABHD14A-ACY1,1,1,4,4,1,1,0,1,1,310,1.76E-05,6.87E-06,1.17E-06,22,0.467525507,0.467525507,1.870102028,1.870102028,0.467525507,0.467525507,0,0.467525507,0.467525507
ABHD14B,14,13,28,33,5,1,0,6,8,66,6.73E-06,3.19E-06,3.66E-07,247,0.739390951,0.686577312,1.478781902,1.742850099,0.264068197,0.052813639,0,0.316881836,0.422509115
ABHD15,23,16,51,58,6,3,1,6,12,131,1.47E-05,6.50E-06,7.15E-07,633,0.515886084,0.358877276,1.143921317,1.300930126,0.134578979,0.067289489,0.02242983,0.134578979,0.269157957
ABHD16A,17,9,55,62,1,0,1,6,9,412,2.04E-05,6.59E-06,2.32E-06,586,0.178981795,0.094755068,0.579058749,0.652757135,0.010528341,0,0.010528341,0.063170045,0.094755068
ABHD16B,35,24,58,75,9,1,4,17,16,116,2.49E-05,1.36E-05,6.13E-07,785,1.288618276,0.883623961,2.135424572,2.761324877,0.331358985,0.036817665,0.14727066,0.625900306,0.589082641
ABHD17A,6,2,21,22,1,0,1,1,4,146,1.68E-05,9.71E-06,5.60E-07,421,0.314557591,0.10485253,1.100951568,1.153377833,0.052426265,0,0.052426265,0.052426265,0.209705061
ABHD17B,3,7,17,17,2,0,1,0,2,153,8.57E-06,3.06E-06,6.51E-07,233,0.115089159,0.26854137,0.652171899,0.652171899,0.076726106,0,0.038363053,0,0.076726106
ABHD17C,1,2,9,9,0,0,0,0,1,112,8.72E-06,4.21E-06,5.09E-07,284,0.043321109,0.086642218,0.38988998,0.38988998,0,0,0,0,0.043321109
ABHD18,23,21,56,62,9,2,3,6,10,NA,NA,NA,NA,461,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD2,1,4,19,19,0,0,0,0,1,248,1.56E-05,6.69E-06,9.98E-07,373,0.029340646,0.117362582,0.557472265,0.557472265,0,0,0,0,0.029340646
ABHD3,21,17,48,57,5,0,2,7,9,260,9.98E-06,4.08E-06,1.03E-06,434,0.341215097,0.276221746,0.779920223,0.926155265,0.08124169,0,0.032496676,0.113738366,0.146235042
ABHD4,13,11,36,40,3,0,4,4,6,178,1.34E-05,5.19E-06,1.48E-06,375,0.228664245,0.193485131,0.633224064,0.703582294,0.052768672,0,0.070358229,0.070358229,0.105537344
ABHD5,17,10,49,56,5,1,2,8,5,218,9.33E-06,3.43E-06,1.50E-06,369,0.220748689,0.12985217,0.636275633,0.727172152,0.064926085,0.012985217,0.025970434,0.103881736,0.064926085
ABHD6,7,4,25,29,3,0,0,3,1,200,1.09E-05,4.59E-06,8.17E-07,315,0.209857555,0.119918603,0.749491269,0.869409872,0.089938952,0,0,0.089938952,0.029979651
ABHD8,2,2,18,19,0,0,0,2,1,141,2.11E-05,1.12E-05,1.05E-06,490,0.059601579,0.059601579,0.536414213,0.566215002,0,0,0,0.059601579,0.02980079
ABI1,2,1,8,9,1,0,0,1,0,291,1.38E-05,4.81E-06,1.35E-06,385,0.037055901,0.018527951,0.148223605,0.166751555,0.018527951,0,0,0.018527951,0
ABI2,5,3,42,43,0,0,1,1,3,261,1.38E-05,4.60E-06,1.30E-06,498,0.073415391,0.044049235,0.616689288,0.631372366,0,0,0.014683078,0.014683078,0.044049235
ABI3,5,3,30,32,1,0,1,1,3,173,1.33E-05,6.17E-06,7.70E-07,433,0.141120017,0.08467201,0.8467201,0.903168107,0.028224003,0,0.028224003,0.028224003,0.08467201
ABI3BP,62,52,179,210,18,5,6,21,24,783,2.76E-05,9.00E-06,3.32E-06,1770,0.206519229,0.173209676,0.596241001,0.699500616,0.059957196,0.016654777,0.019985732,0.069950062,0.079942928
ABL1,0,2,13,13,0,0,0,0,0,496,4.53E-05,2.17E-05,2.46E-06,1122,0,0.023412044,0.152178284,0.152178284,0,0,0,0,0
ABL2,14,11,62,68,5,2,2,3,5,550,3.32E-05,1.34E-05,3.21E-06,1111,0.093773471,0.073679156,0.415282514,0.455471145,0.033490525,0.01339621,0.01339621,0.020094315,0.033490525
ABLIM1,9,11,46,48,2,1,1,1,6,568,2.84E-05,1.05E-05,2.48E-06,801,0.089484775,0.109370281,0.457366629,0.477252135,0.019885506,0.009942753,0.009942753,0.009942753,0.059656517
ABLIM2,16,13,51,60,3,2,1,5,6,468,2.55E-05,1.20E-05,2.64E-06,726,0.161191666,0.130968228,0.513798434,0.604468746,0.030223437,0.020148958,0.010074479,0.050372396,0.060446875
ABLIM3,16,10,51,58,4,2,1,4,9,551,2.58E-05,9.25E-06,2.89E-06,688,0.148860676,0.093037922,0.474493403,0.539619949,0.037215169,0.018607584,0.009303792,0.037215169,0.08373413
ABO,22,10,45,56,8,4,3,16,7,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABR,13,17,83,89,5,0,0,3,5,559,3.15E-05,1.58E-05,2.26E-06,1103,0.121561936,0.158965609,0.776126207,0.832231716,0.046754591,0,0,0.028052754,0.046754591
ABRA,14,9,25,31,2,0,2,4,8,162,1.35E-05,5.26E-06,8.11E-07,446,0.35452758,0.227910587,0.633084964,0.785025356,0.050646797,0,0.050646797,0.101293594,0.202587189
ABRACL,4,4,12,14,1,0,0,2,1,40,2.51E-06,9.18E-07,2.36E-07,136,0.219488474,0.219488474,0.658465421,0.768209658,0.054872118,0,0,0.109744237,0.054872118
ABRAXAS1,20,14,47,52,6,1,1,6,10,NA,NA,NA,NA,454,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABRAXAS2,7,8,35,35,0,0,0,1,6,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABT1,7,7,27,29,2,1,0,2,4,107,1.32E-05,4.11E-06,3.82E-07,381,0.389125677,0.389125677,1.500913326,1.612092091,0.111178765,0.055589382,0,0.111178765,0.22235753
ABTB1,22,18,51,62,4,1,2,10,10,268,2.20E-05,1.03E-05,1.43E-06,622,0.388642943,0.31798059,0.900945005,1.095266477,0.070662353,0.017665588,0.035331177,0.176655883,0.176655883
ABTB2,10,6,47,52,2,1,0,4,5,483,3.57E-05,1.72E-05,2.24E-06,1094,0.104944395,0.062966637,0.493238659,0.545710856,0.020988879,0.01049444,0,0.041977758,0.052472198
AC000035.1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC001226.2,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC002094.3,1,1,2,2,1,0,0,0,1,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC002116.2,2,0,0,2,1,0,0,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC002401.1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC002985.1,0,1,3,3,0,0,0,0,0,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC002996.1,1,0,0,1,0,0,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC003006.1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC003986.1,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC003991.1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004076.1,1,0,1,1,0,0,0,0,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004080.6,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004223.3,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004231.1,1,1,2,2,0,0,0,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004241.1,1,0,1,2,1,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004448.3,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004528.2,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004540.2,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004551.1,1,1,1,2,0,0,0,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004593.3,3,0,4,5,1,0,1,0,1,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004674.1,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004754.1,2,1,2,3,0,0,0,1,1,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004771.2,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004805.1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004832.1,1,1,2,3,0,0,0,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004832.3,0,0,2,2,0,0,0,0,0,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004951.1,1,1,2,3,0,0,1,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004997.1,3,1,10,11,1,0,1,0,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC005009.2,1,0,1,2,1,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
