"Gene","Diverse_LOF_SNV","Nfe_43k_LOF_SNV","Nfe_440k_LOF_SNV","All_LOF_SNV","afr_LOF_SNV","asj_LOF_SNV","eas_LOF_SNV","sas_LOF_SNV","nfe_20k_LOF_SNV","possible_lof","mu_mis","mu_syn","mu_lof","LOF_OE_Diverse43k","LOF_OE_NFE43k","LOF_OE_NFE440k","LOF_OE_FullDataset","LOF_OE_AFR","LOF_OE_ASJ","LOF_OE_EAS","LOF_OE_SAS","LOF_OE_NFE20k"
"ABAT",12,9,41,47,2,0,0,7,3,317,1.9554e-05,8.6285e-06,1.3999e-06,0.0378548895899054,0.028391167192429,0.129337539432177,0.148264984227129,0.00630914826498423,0,0,0.0220820189274448,0.00946372239747634
"ABCA1",22,18,74,84,2,0,1,10,9,1357,6.8407e-05,2.7524e-05,6.3166e-06,0.0162122328666175,0.0132645541635962,0.0545320560058954,0.0619012527634488,0.00147383935151069,0,0.000736919675755343,0.00736919675755343,0.00663227708179808
"ABCA10",47,27,84,110,20,1,5,16,18,1081,3.6898e-05,1.299e-05,3.6601e-06,0.0434782608695652,0.0249768732654949,0.0777058279370953,0.101757631822387,0.0185013876040703,0.000925069380203515,0.00462534690101758,0.0148011100832562,0.0166512488436633
"ABCA11P",0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA12",24,19,78,87,7,1,0,8,11,1605,6.9444e-05,2.7708e-05,7.2492e-06,0.0149532710280374,0.0118380062305296,0.0485981308411215,0.0542056074766355,0.0043613707165109,0.000623052959501558,0,0.00498442367601246,0.00685358255451713
"ABCA13",98,68,210,247,26,4,10,25,46,2687,0.00012398,5.0815e-05,9.6869e-06,0.0364719017491626,0.0253070338667659,0.0781540751767771,0.0919240788983997,0.0096762188314105,0.00148864905098623,0.00372162262746558,0.00930405656866394,0.0171194640863416
"ABCA2",12,8,54,56,1,0,0,3,9,1254,0.00011275,5.9294e-05,5.4944e-06,0.00956937799043062,0.00637958532695375,0.0430622009569378,0.0446570972886762,0.000797448165869219,0,0,0.00239234449760766,0.00717703349282297
"ABCA3",8,6,56,60,2,1,1,1,3,812,7.3157e-05,3.7995e-05,3.5632e-06,0.00985221674876847,0.00738916256157635,0.0689655172413793,0.0738916256157636,0.00246305418719212,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00369458128078818
"ABCA4",39,34,101,117,7,3,4,9,20,1336,7.4611e-05,3.1918e-05,6.2377e-06,0.0291916167664671,0.0254491017964072,0.0755988023952096,0.0875748502994012,0.00523952095808383,0.00224550898203593,0.0029940119760479,0.00673652694610778,0.0149700598802395
"ABCA5",33,31,94,105,11,0,4,7,16,1162,3.6932e-05,1.2057e-05,4.0619e-06,0.0283993115318417,0.0266781411359725,0.080895008605852,0.0903614457831325,0.00946643717728055,0,0.00344234079173838,0.00602409638554217,0.0137693631669535
"ABCA6",43,30,97,113,16,0,3,6,24,1116,3.7703e-05,1.4079e-05,3.5717e-06,0.0385304659498208,0.0268817204301075,0.0869175627240143,0.101254480286738,0.014336917562724,0,0.00268817204301075,0.00537634408602151,0.021505376344086
"ABCA7",74,42,136,171,22,1,8,21,28,1043,9.3364e-05,4.3752e-05,5.1312e-06,0.0709491850431448,0.0402684563758389,0.13039309683605,0.163950143815916,0.0210930009587728,0.000958772770853308,0.00767018216682646,0.0201342281879195,0.0268456375838926
"ABCA8",52,39,121,149,15,2,3,16,18,1065,4.1458e-05,1.7397e-05,3.9326e-06,0.0488262910798122,0.0366197183098592,0.113615023474178,0.139906103286385,0.0140845070422535,0.00187793427230047,0.0028169014084507,0.0150234741784038,0.0169014084507042
"ABCA9",41,40,94,107,13,2,3,12,21,1086,4.0993e-05,1.6337e-05,4.5712e-06,0.0377532228360958,0.0368324125230203,0.0865561694290976,0.0985267034990792,0.0119705340699816,0.00184162062615101,0.00276243093922652,0.0110497237569061,0.0193370165745856
"ABCA9-AS1",0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCB1",3,10,37,38,0,0,1,1,1,772,3.6749e-05,1.25e-05,3.6547e-06,0.0038860103626943,0.0129533678756477,0.0479274611398964,0.0492227979274611,0,0,0.00129533678756477,0.00129533678756477,0.00129533678756477
"ABCB10",9,13,37,40,1,0,3,3,4,332,1.9778e-05,7.4708e-06,1.3156e-06,0.0271084337349398,0.0391566265060241,0.11144578313253,0.120481927710843,0.00301204819277108,0,0.00903614457831325,0.00903614457831325,0.0120481927710843
"ABCB11",18,12,48,56,5,1,1,5,6,779,3.6964e-05,1.2932e-05,3.398e-06,0.0231065468549422,0.0154043645699615,0.061617458279846,0.0718870346598203,0.00641848523748395,0.00128369704749679,0.00128369704749679,0.00641848523748395,0.00770218228498074
"ABCB4",17,6,44,51,6,1,2,5,4,785,3.6546e-05,1.4967e-05,3.696e-06,0.021656050955414,0.00764331210191083,0.0560509554140127,0.064968152866242,0.00764331210191083,0.00127388535031847,0.00254777070063694,0.00636942675159236,0.00509554140127389
"ABCB5",39,23,80,100,14,2,2,16,16,797,3.498e-05,1.3059e-05,3.9104e-06,0.0489335006273526,0.0288582183186951,0.100376411543287,0.125470514429109,0.0175658720200753,0.00250941028858218,0.00250941028858218,0.0200752823086575,0.0200752823086575
"ABCB6",25,16,57,65,6,0,0,6,16,455,2.9852e-05,1.2451e-05,2.6374e-06,0.0549450549450549,0.0351648351648352,0.125274725274725,0.142857142857143,0.0131868131868132,0,0,0.0131868131868132,0.0351648351648352
"ABCB7",0,1,3,3,0,0,0,0,0,461,1.9948e-05,7.618e-06,2.0954e-06,0,0.00216919739696312,0.00650759219088937,0.00650759219088937,0,0,0,0,0
"ABCB8",19,9,41,47,3,1,4,5,7,335,3.1385e-05,1.3621e-05,1.8817e-06,0.0567164179104478,0.026865671641791,0.122388059701493,0.140298507462687,0.00895522388059702,0.00298507462686567,0.0119402985074627,0.0149253731343284,0.0208955223880597
"ABCB9",10,3,26,33,3,0,0,5,3,314,3.4028e-05,1.6961e-05,1.2667e-06,0.0318471337579618,0.00955414012738853,0.0828025477707006,0.105095541401274,0.00955414012738853,0,0,0.0159235668789809,0.00955414012738853
"ABCC1",13,5,61,63,4,0,1,0,8,854,5.9368e-05,2.9016e-05,3.9203e-06,0.0152224824355972,0.00585480093676815,0.0714285714285714,0.0737704918032787,0.00468384074941452,0,0.00117096018735363,0,0.00936768149882904
"ABCC10",23,22,69,76,9,0,2,6,7,658,5.41e-05,2.3141e-05,3.8214e-06,0.0349544072948328,0.033434650455927,0.104863221884498,0.115501519756839,0.013677811550152,0,0.00303951367781155,0.00911854103343465,0.0106382978723404
"ABCC11",33,17,60,78,14,2,6,11,10,788,4.473e-05,1.9605e-05,3.4494e-06,0.0418781725888325,0.0215736040609137,0.0761421319796954,0.0989847715736041,0.0177664974619289,0.00253807106598985,0.00761421319796954,0.0139593908629442,0.0126903553299492
"ABCC12",32,20,71,86,8,0,11,11,13,794,4.38e-05,1.9641e-05,3.5965e-06,0.0403022670025189,0.0251889168765743,0.0894206549118388,0.10831234256927,0.0100755667506297,0,0.0138539042821159,0.0138539042821159,0.0163727959697733
"ABCC2",36,18,74,93,12,0,6,13,8,883,4.3339e-05,1.6962e-05,4.3026e-06,0.0407701019252548,0.0203850509626274,0.0838052095130238,0.105322763306908,0.0135900339750849,0,0.00679501698754247,0.014722536806342,0.00906002265005663
"ABCC3",32,26,70,83,10,1,4,11,14,799,5.5178e-05,2.3887e-05,3.5819e-06,0.0400500625782228,0.032540675844806,0.0876095118898623,0.103879849812265,0.0125156445556946,0.00125156445556946,0.00500625782227785,0.0137672090112641,0.0175219023779725
"ABCC4",11,12,52,57,3,1,0,2,5,913,3.9661e-05,1.6902e-05,3.5537e-06,0.0120481927710843,0.0131434830230011,0.0569550930996714,0.0624315443592552,0.00328587075575027,0.00109529025191676,0,0.00219058050383352,0.00547645125958379
"ABCC5",8,9,47,49,2,0,1,3,5,821,4.8225e-05,2.1017e-05,4.309e-06,0.0097442143727162,0.0109622411693057,0.0572472594397077,0.0596833130328867,0.00243605359317905,0,0.00121802679658952,0.00365408038976857,0.00609013398294762
"ABCC6",20,14,55,62,4,0,5,9,11,781,5.3097e-05,2.3861e-05,3.6107e-06,0.0256081946222791,0.0179257362355954,0.0704225352112676,0.0793854033290653,0.00512163892445583,0,0.00640204865556978,0.0115236875800256,0.0140845070422535
"ABCC8",33,29,112,124,10,1,0,12,14,892,5.9348e-05,2.6787e-05,4.5578e-06,0.0369955156950673,0.0325112107623318,0.125560538116592,0.139013452914798,0.0112107623318386,0.00112107623318386,0,0.0134529147982063,0.015695067264574
"ABCC9",6,19,58,58,2,0,1,2,5,1009,4.3869e-05,1.6004e-05,4.2552e-06,0.00594648166501487,0.0188305252725471,0.0574826560951437,0.0574826560951437,0.00198216055500496,0,0.000991080277502478,0.00198216055500496,0.00495540138751239
"ABCD1",1,1,4,5,0,0,1,0,0,331,3.2839e-05,1.5305e-05,1.3381e-06,0.00302114803625378,0.00302114803625378,0.0120845921450151,0.0151057401812689,0,0,0.00302114803625378,0,0
"ABCD2",4,2,16,18,2,0,0,0,2,410,1.9984e-05,6.8642e-06,1.4158e-06,0.00975609756097561,0.0048780487804878,0.0390243902439024,0.0439024390243902,0.0048780487804878,0,0,0,0.0048780487804878
"ABCD3",3,4,28,29,0,1,1,0,1,541,1.9474e-05,6.1147e-06,3.1172e-06,0.0055452865064695,0.00739371534195933,0.0517560073937153,0.0536044362292052,0,0.00184842883548983,0.00184842883548983,0,0.00184842883548983
"ABCD4",13,13,46,51,2,0,2,5,9,408,2.1081e-05,9.4185e-06,2.0306e-06,0.0318627450980392,0.0318627450980392,0.112745098039216,0.125,0.00490196078431373,0,0.00490196078431373,0.0122549019607843,0.0220588235294118
"ABCE1",0,3,17,17,0,0,0,0,0,449,1.6089e-05,5.4273e-06,2.2074e-06,0,0.0066815144766147,0.0378619153674833,0.0378619153674833,0,0,0,0,0
"ABCF1",7,4,50,55,2,1,0,2,2,642,2.8722e-05,9.9675e-06,3.1633e-06,0.0109034267912773,0.00623052959501558,0.0778816199376947,0.0856697819314642,0.00311526479750779,0.00155763239875389,0,0.00311526479750779,0.00311526479750779
"ABCF2",0,2,20,20,0,0,0,0,0,408,2.0784e-05,7.3935e-06,2.2513e-06,0,0.00490196078431373,0.0490196078431373,0.0490196078431373,0,0,0,0,0
"ABCF3",8,10,37,39,0,1,0,2,5,472,2.7322e-05,1.0142e-05,2.1421e-06,0.0169491525423729,0.0211864406779661,0.0783898305084746,0.0826271186440678,0,0.00211864406779661,0,0.00423728813559322,0.010593220338983
"ABCG1",12,12,36,41,6,0,1,2,5,369,2.7825e-05,1.4424e-05,1.4269e-06,0.032520325203252,0.032520325203252,0.0975609756097561,0.111111111111111,0.016260162601626,0,0.002710027100271,0.00542005420054201,0.013550135501355
"ABCG2",27,20,43,55,9,0,3,9,12,430,1.808e-05,7.3537e-06,2.2175e-06,0.0627906976744186,0.0465116279069767,0.1,0.127906976744186,0.0209302325581395,0,0.00697674418604651,0.0209302325581395,0.027906976744186
"ABCG4",4,4,17,18,3,0,0,1,1,337,2.4074e-05,1.0884e-05,1.3765e-06,0.0118694362017804,0.0118694362017804,0.0504451038575668,0.0534124629080119,0.00890207715133531,0,0,0.0029673590504451,0.0029673590504451
"ABCG5",19,11,37,44,2,0,5,7,9,333,2.2264e-05,1.0173e-05,1.7615e-06,0.057057057057057,0.033033033033033,0.111111111111111,0.132132132132132,0.00600600600600601,0,0.015015015015015,0.021021021021021,0.027027027027027
"ABCG8",20,15,49,58,6,0,1,8,8,338,2.4944e-05,1.2188e-05,1.5852e-06,0.0591715976331361,0.0443786982248521,0.144970414201183,0.171597633136095,0.0177514792899408,0,0.0029585798816568,0.0236686390532544,0.0236686390532544
"ABHD1",13,7,29,34,1,0,1,9,4,200,1.3546e-05,5.4761e-06,1.0538e-06,0.065,0.035,0.145,0.17,0.005,0,0.005,0.045,0.02
"ABHD10",12,5,16,21,3,0,1,3,6,159,8.3104e-06,3.3077e-06,1.0796e-06,0.0754716981132075,0.0314465408805031,0.10062893081761,0.132075471698113,0.0188679245283019,0,0.00628930817610063,0.0188679245283019,0.0377358490566038
"ABHD11",6,4,18,20,0,0,0,3,3,118,1.2037e-05,4.8035e-06,6.3447e-07,0.0508474576271186,0.0338983050847458,0.152542372881356,0.169491525423729,0,0,0,0.0254237288135593,0.0254237288135593
"ABHD12",11,10,37,41,3,0,1,4,4,269,1.302e-05,5.5553e-06,1.4844e-06,0.0408921933085502,0.0371747211895911,0.137546468401487,0.152416356877323,0.0111524163568773,0,0.00371747211895911,0.0148698884758364,0.0148698884758364
"ABHD12B",11,8,24,31,3,1,2,4,3,268,8.8822e-06,3.2823e-06,8.0002e-07,0.041044776119403,0.0298507462686567,0.0895522388059701,0.115671641791045,0.0111940298507463,0.00373134328358209,0.00746268656716418,0.0149253731343284,0.0111940298507463
"ABHD13",0,1,8,8,0,0,0,0,0,152,9.3097e-06,2.8524e-06,6.5447e-07,0,0.00657894736842105,0.0526315789473684,0.0526315789473684,0,0,0,0,0
"ABHD14A",8,3,17,22,5,0,0,4,0,112,8.8983e-06,3.8752e-06,6.3178e-07,0.0714285714285714,0.0267857142857143,0.151785714285714,0.196428571428571,0.0446428571428571,0,0,0.0357142857142857,0
"ABHD14A-ACY1",0,1,4,4,0,1,0,1,1,310,1.7603e-05,6.8684e-06,1.1713e-06,0,0.0032258064516129,0.0129032258064516,0.0129032258064516,0,0.0032258064516129,0,0.0032258064516129,0.0032258064516129
"ABHD14B",7,7,15,18,1,0,0,3,5,66,6.7311e-06,3.1901e-06,3.6608e-07,0.106060606060606,0.106060606060606,0.227272727272727,0.272727272727273,0.0151515151515152,0,0,0.0454545454545455,0.0757575757575758
"ABHD15",11,6,19,20,1,1,0,2,8,131,1.472e-05,6.5041e-06,7.1472e-07,0.083969465648855,0.0458015267175573,0.145038167938931,0.152671755725191,0.00763358778625954,0.00763358778625954,0,0.0152671755725191,0.0610687022900763
"ABHD16A",10,4,34,39,1,0,0,5,4,412,2.0434e-05,6.5909e-06,2.3234e-06,0.0242718446601942,0.00970873786407767,0.0825242718446602,0.0946601941747573,0.00242718446601942,0,0,0.0121359223300971,0.00970873786407767
"ABHD16B",11,10,24,27,3,0,0,4,6,116,2.4881e-05,1.3597e-05,6.1291e-07,0.0948275862068965,0.0862068965517241,0.206896551724138,0.232758620689655,0.0258620689655172,0,0,0.0344827586206897,0.0517241379310345
"ABHD17A",1,0,12,12,0,0,0,0,1,146,1.6846e-05,9.7102e-06,5.6013e-07,0.00684931506849315,0,0.0821917808219178,0.0821917808219178,0,0,0,0,0.00684931506849315
"ABHD17B",0,3,9,9,0,0,0,0,0,153,8.5654e-06,3.0564e-06,6.5065e-07,0,0.0196078431372549,0.0588235294117647,0.0588235294117647,0,0,0,0,0
"ABHD17C",0,1,6,6,0,0,0,0,0,112,8.7228e-06,4.2143e-06,5.0869e-07,0,0.00892857142857143,0.0535714285714286,0.0535714285714286,0,0,0,0,0
"ABHD18",14,14,38,41,6,0,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD2",0,3,12,12,0,0,0,0,0,248,1.5636e-05,6.6869e-06,9.9771e-07,0,0.0120967741935484,0.0483870967741935,0.0483870967741935,0,0,0,0,0
"ABHD3",12,10,24,29,3,0,0,3,6,260,9.9826e-06,4.0778e-06,1.0326e-06,0.0461538461538462,0.0384615384615385,0.0923076923076923,0.111538461538462,0.0115384615384615,0,0,0.0115384615384615,0.0230769230769231
"ABHD4",10,5,21,25,2,0,3,3,3,178,1.3412e-05,5.194e-06,1.4777e-06,0.0561797752808989,0.0280898876404494,0.117977528089888,0.140449438202247,0.0112359550561798,0,0.0168539325842697,0.0168539325842697,0.0168539325842697
"ABHD5",13,4,29,34,3,0,2,6,3,218,9.3303e-06,3.4346e-06,1.4963e-06,0.0596330275229358,0.018348623853211,0.13302752293578,0.155963302752294,0.0137614678899083,0,0.0091743119266055,0.0275229357798165,0.0137614678899083
"ABHD6",4,3,15,17,2,0,0,1,1,200,1.0927e-05,4.5874e-06,8.1663e-07,0.02,0.015,0.075,0.085,0.01,0,0,0.005,0.005
"ABHD8",1,1,8,8,0,0,0,1,1,141,2.1065e-05,1.119e-05,1.0539e-06,0.00709219858156028,0.00709219858156028,0.0567375886524823,0.0567375886524823,0,0,0,0.00709219858156028,0.00709219858156028
"ABI1",1,0,4,5,0,0,0,1,0,291,1.3843e-05,4.8061e-06,1.3514e-06,0.00343642611683849,0,0.013745704467354,0.0171821305841924,0,0,0,0.00343642611683849,0
"ABI2",1,1,18,18,0,0,0,0,1,261,1.3832e-05,4.5956e-06,1.2975e-06,0.00383141762452107,0.00383141762452107,0.0689655172413793,0.0689655172413793,0,0,0,0,0.00383141762452107
"ABI3",3,0,13,15,1,0,1,1,1,173,1.3258e-05,6.17e-06,7.6951e-07,0.0173410404624277,0,0.0751445086705202,0.0867052023121387,0.00578034682080925,0,0.00578034682080925,0.00578034682080925,0.00578034682080925
"ABI3BP",41,31,105,126,11,3,5,14,15,783,2.7597e-05,9.0043e-06,3.3227e-06,0.0523627075351213,0.0395913154533844,0.134099616858238,0.160919540229885,0.0140485312899106,0.00383141762452107,0.00638569604086846,0.0178799489144317,0.0191570881226054
"ABL1",0,1,6,6,0,0,0,0,0,496,4.5348e-05,2.1719e-05,2.4565e-06,0,0.00201612903225806,0.0120967741935484,0.0120967741935484,0,0,0,0,0
"ABL2",10,7,30,34,4,1,0,3,4,550,3.3185e-05,1.338e-05,3.2128e-06,0.0181818181818182,0.0127272727272727,0.0545454545454545,0.0618181818181818,0.00727272727272727,0.00181818181818182,0,0.00545454545454545,0.00727272727272727
"ABLIM1",6,6,31,33,2,0,0,1,4,568,2.8426e-05,1.0459e-05,2.4816e-06,0.0105633802816901,0.0105633802816901,0.0545774647887324,0.0580985915492958,0.00352112676056338,0,0,0.00176056338028169,0.00704225352112676
"ABLIM2",10,10,38,45,3,1,1,3,3,468,2.5493e-05,1.2041e-05,2.642e-06,0.0213675213675214,0.0213675213675214,0.0811965811965812,0.0961538461538462,0.00641025641025641,0.00213675213675214,0.00213675213675214,0.00641025641025641,0.00641025641025641
"ABLIM3",13,8,36,42,4,1,1,2,7,551,2.5809e-05,9.2503e-06,2.885e-06,0.0235934664246824,0.014519056261343,0.0653357531760436,0.0762250453720508,0.00725952813067151,0.00181488203266788,0.00181488203266788,0.00362976406533575,0.0127041742286751
"ABO",11,2,20,25,0,0,1,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABR",7,11,47,49,3,0,0,0,4,559,3.1528e-05,1.579e-05,2.2579e-06,0.0125223613595707,0.0196779964221825,0.0840787119856887,0.0876565295169946,0.00536672629695885,0,0,0,0.00715563506261181
"ABRA",9,7,16,20,1,0,2,3,5,162,1.3514e-05,5.2623e-06,8.1065e-07,0.0555555555555556,0.0432098765432099,0.0987654320987654,0.123456790123457,0.00617283950617284,0,0.0123456790123457,0.0185185185185185,0.0308641975308642
"ABRACL",2,4,10,10,0,0,0,1,1,40,2.5121e-06,9.178e-07,2.3588e-07,0.05,0.1,0.25,0.25,0,0,0,0.025,0.025
"ABRAXAS1",8,7,19,21,2,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABRAXAS2",5,5,18,18,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABT1",4,4,15,16,1,0,0,1,2,107,1.3239e-05,4.1135e-06,3.8218e-07,0.0373831775700935,0.0373831775700935,0.14018691588785,0.149532710280374,0.00934579439252336,0,0,0.00934579439252336,0.0186915887850467
"ABTB1",12,11,27,32,3,0,2,4,6,268,2.1973e-05,1.0269e-05,1.4347e-06,0.0447761194029851,0.041044776119403,0.100746268656716,0.119402985074627,0.0111940298507463,0,0.00746268656716418,0.0149253731343284,0.0223880597014925
